monica and chandlers apartment|jennifer aniston v.o.|previously on friends.
monica and chandlers apartment|monica|erica, are you okay
monica and chandlers apartment|erica|yeah, you know, maybe i ate too much. i keep getting these    stomachaches. they come and go like every few minutes.
monica and chandlers apartment|monica|oh my god
monica and chandlers apartment|chandler|relax well just get her some antacids.
monica and chandlers apartment|monica|she doesnt have a stomachache. shes in labor
monica and chandlers apartment|chandler|oh my god  [cut to rosss apartment. ross and rachel are there. its another    scene from 1016 tow rachels going away party.]
monica and chandlers apartment|rachel|so if you think i didnt say goodbye to you because you dont    mean as much to me as everybody else, youre wrong. its because you    mean more to me.
monica and chandlers apartment|ross|rach
rosss bedroom|rachel|what he walks over and kisses her. they pull back, rachel looks at him,  and they kiss again.    up from underneath the covers.]
rosss bedroom|ross|hey.
rosss bedroom|rachel|shh.. go back to sleep. i have to go home.
rosss bedroom|ross|oh. this was amazing.
rosss bedroom|rachel|it really was. youve learned some new moves
rosss bedroom|ross|yeah, well, this guy at work gave me sex for dummies as a    joke.
rosss bedroom|rachel|ah.
rosss bedroom|ross|whos laughing now
the delivery room at the hospital|rachel|i know they kiss.  opening credits   are there. erica is in labor, and she is breathing heavily.]
the delivery room at the hospital|monica|breathe, breathe, breathe... good.
the delivery room at the hospital|chandler|next time, can i say breathe
the delivery room at the hospital|monica|no, last time you said it like dracula, and it scared her can    i get you anything you want some more ice chips
the delivery room at the hospital|erica|no, im okay.
the delivery room at the hospital|monica|alright, ill be right back.
the delivery room at the hospital|chandler|where are you going
the delivery room at the hospital|monica|to use the bathroom.
the delivery room at the hospital|chandler|you cant leave me alone with her.
the delivery room at the hospital|monica|what
the delivery room at the hospital|chandler|this is exactly the kind of social situation that i am not    comfortable with
the delivery room at the hospital|monica|what kind of social situation are you comfortable with
the delivery room at the hospital|chandler|its just that weve never spent any time, you know, alone    together.
the delivery room at the hospital|monica|youll be fine. nah, you wont, but ill be back in two    minutes.
the delivery room at the hospital|chandler|okay. monica leaves, and chandler closes the door. erica just looks at    him.
the delivery room at the hospital|chandler|so, ah... any plans for the summer
the delivery room at the hospital|erica|i dont know. maybe churchcamp
the delivery room at the hospital|chandler|hah. may not wanna mention this. so, you ever wonder which    is worse, you know going through labor or getting kicked in the nuts
the delivery room at the hospital|erica|what
the delivery room at the hospital|chandler|well, its just interesting. you know, because no one will    ever know, because no one can experience both. erica just looks at him like hes crazy.
joey and rachels apartment|chandler|one of lifes great, unanswerable questions. i mean, who    knows maybe theres something even more painful than those things  like this.    joey is holding a baby duck.]
joey and rachels apartment|phoebe|morning.
joey and rachels apartment|joey|hey
joey and rachels apartment|phoebe|whats that
joey and rachels apartment|joey|its my housewarming present for monica and chandler.
joey and rachels apartment|phoebe|its a baby chick and duck
joey and rachels apartment|joey|uhhuh. and i named them chick jr. and duck jr.
joey and rachels apartment|phoebe|i did not see that coming.
joey and rachels apartment|joey|yeah, i figure theyll love it at the new house, you know it    has that big backyard. and then, when they get old, they can go to    that special farm that chandler took the other chick and duck to.
joey and rachels apartment|phoebe|yes.
joey and rachels apartment|joey|yeah. its a shame people cant visit there.
joey and rachels apartment|phoebe|that is the rule, though. ross enters.
joey and rachels apartment|phoebe|guess what youre almost an uncle
joey and rachels apartment|ross|what
joey and rachels apartment|joey|yeah, erica went into labor last night. monica and chandler are    at the hospital right now
joey and rachels apartment|ross|oh my god
joey and rachels apartment|phoebe|yeah, and i have a definite feeling its gonna be a girl.
joey and rachels apartment|ross|phoebe, you were sure ben was gonna be a girl.
joey and rachels apartment|phoebe|have you seen him throw a ball
joey and rachels apartment|ross|is rachel here
joey and rachels apartment|joey|uh, i think shes still asleep. hey, hey, how did it go with you    guys last night she seemed pretty pissed at you.
joey and rachels apartment|ross|uh, we, yknow, we worked things out.
joey and rachels apartment|phoebe|whats that smile did something happen with you two
joey and rachels apartment|ross|hey, im not one to kiss and tell, but im also not one to have    sex and shut up. we totally did it
joey and rachels apartment|joey|oh my god. you and rachel
joey and rachels apartment|ross|i know, its pretty great.
joey and rachels apartment|joey|so what does that mean are you guys getting back together
joey and rachels apartment|ross|oh, i.. i dont know. we didnt really get to talk.
joey and rachels apartment|phoebe|but do you wanna get back together
joey and rachels apartment|ross|i dont know. it was incredible. i mean, it just felt so right.    when i was holding her, i mean, i never wanted to let her go. you know    what yeah, i do. i wanna be together.
joey and rachels apartment|phoebe|screaming yay
joey and rachels apartment|ross|shhh
joey and rachels apartment|phoebe|quietly yay
joey and rachels apartment|joey|so, so is she still going to paris
joey and rachels apartment|ross|wow, i hadnt thought of that. i hope not.
joey and rachels apartment|phoebe|oh, this is like the best day ever. ever you guys might get    back together, monica and chandler are getting their baby, there are    chicks and ducks in the world again oh, i feel like im in a musical    singing daa  raa... when the sun comes up, bright and beaming and    the moon comes... rachel enters from her room.
joey and rachels apartment|rachel|morning
joey and rachels apartment|phoebe|guess well never know how it ends.
joey and rachels apartment|joey|okay.
joey and rachels apartment|ross|hey.
joey and rachels apartment|rachel|hey.
joey and rachels apartment|ross|hey. how did you sleep
joey and rachels apartment|rachel|good. you
joey and rachels apartment|ross|good.
joey and rachels apartment|joey|i bet you did
joey and rachels apartment|ross|uh. would you guys mind giving us a minute
joey and rachels apartment|joey|sure, yeah. will you just keep an eye on the chick and the duck
joey and rachels apartment|rachel|chick and the duck didnt they die...
joey and rachels apartment|phoebe|interrupting dive. yeah, they dove headfirst into fun on    the farm. joey and phoebe leave.
joey and rachels apartment|ross|so... he kisses her.
joey and rachels apartment|ross|morning.
joey and rachels apartment|rachel|you too. last night was just wonderful.
joey and rachels apartment|ross|it really was.
joey and rachels apartment|rachel|i woke up today with the biggest smile on my face.
joey and rachels apartment|ross|i know, me too. it was... you know, it was like one of those    things you think is never gonna happen, and then it does, and its    everything you want it to be.
the hospital|rachel|uhhuh. i know. it was just, it was just the perfect way to say goodbye. she hugs him, and ross looks crushed.    monica, chandler, a nurse and a doctor are there with her.]
the hospital|monica|its just a little bit more, honey.
the hospital|erica|help me this hurts
the hospital|chandler|is it really that bad
the hospital|erica|uhhuh i think its time to kick you in the nuts and see which    is worse monica gives chandler a look.
the hospital|doctor|the babys head is crowning. monica walks down to ericas legs to watch the birth.
the hospital|monica|oh oh my god that is the most beautiful top of a head i have    ever seen chandler, you have to see this chandler is standing by ericas head.
the hospital|chandler|im okay.
the hospital|monica|chandler, you dont wanna miss this. this is the birth of your    child its the miracle of life
the hospital|chandler|alright. wow, that is one disgusting miracle.
