monica and chandlers|chandler|hey babe arent you excited were going on our honeymoon
monica and chandlers|monica|yeah i am
monica and chandlers|chandler|singing bermuda, bahama, come on pretty mama
monica and chandlers|monica|thats right. get it out of your system while were alone.
monica and chandlers|joey|entering with phoebe hey
monica and chandlers|phoebe|yeah have a great honeymoon
monica and chandlers|chandler|id better go pack.
monica and chandlers|monica|oh no, i already packed. the only thing i couldnt find though was your speedo. joey looks at him, phoebe tries not to smile, and chandler is shocked.
monica and chandlers|chandler|a speedo uh, i dont have a speedo. im gonna go pack my regular long bathing suit. goes into the bedroom.
monica and chandlers|rachel|entering oh good youre still here
monica and chandlers|monica|hey
monica and chandlers|rachel|i want to tell you to have a good honeymoon hugs monica.
monica and chandlers|monica|thank you.
monica and chandlers|rachel|and i also wanted you guys to know that i am telling the father today. they all look at her expectantly what what what pause.
monica and chandlers|joey|we know its ross
monica and chandlers|rachel|how how do you know
monica and chandlers|phoebe|it was his sweater, butoh my god
monica and chandlers|rachel|oh, i so wanted ross to know first, but im so relieved you guys know.
monica and chandlers|monica|this is so great and im gonna be your babys aunt
monica and chandlers|rachel|i know they hug.
monica and chandlers|phoebe|me too joins the hug.
monica and chandlers|joey|im gonna be an uncle come here he joins the hug.
monica and chandlers|rachel|breaking the hug youre all gonna be aunts and uncles.
monica and chandlers|monica|yeah, but im the only one related by blood.
monica and chandlers|rachel|okay. great so now that you guys all know you can help me. give me some advice on how im gonna tell ross
monica and chandlers|monica|well, what were you gonna say
monica and chandlers|rachel|well i was gonna tell him that imim gonna have the baby and he can be as involved as he wants.
monica and chandlers|joey|well that, that sounds good.
monica and chandlers|rachel|yeah but how do i start i mean, whatswhats the first thing that i say they all pause to think. okay great thanks. she starts to leave.
monica and chandlers|monica|hey good luck
monica and chandlers|phoebe|yeah, bye.
monica and chandlers|joey|bye. rachel exits.
monica and chandlers|chandler|entering hey, what was that all about
monica and chandlers|monica|well i guess there is no harm in telling you now, rachel and ross are gonna have a baby.
monica and chandlers|chandler|in a high pitched voice what i didnt even know thatwhy didnt you tell me pause why am i talking like this
monica and chandlers|monica|i didnt think you could keep it a secret.
monica and chandlers|chandler|in the high pitched voice what normal voice i am an excellent secret keeper. i have kept all of our secrets.
monica and chandlers|joey|what secrets
monica and chandlers|chandler|oh nono joey, i am not going to tell you because i am an excellent secret keeper. the girls walk away.
monica and chandlers|joey|whispering to chandler youll tell me later
joey and rachels|chandler|you already know. opening credits
joey and rachels|phoebe|oh, its so romantic to send people off on their honeymoon.
joey and rachels|joey|yknow, monica and chandler are married. ross and rachel are having a baby. maybe you and i should do something.
joey and rachels|phoebe|all in good time my love. all in good time. oh shoot i left my guitar in their apartment. well you can let me in later.
joey and rachels|joey|i dont have a key, they took mine to give to you.
joey and rachels|phoebe|what they took mine to give to you
joey and rachels|joey|why would they take away our keys
joey and rachels|phoebe|maybe they dont trust us.
joey and rachels|joey|no thats not it. they let me keep my key the last time they were out of town. 
joey and rachels|phoebe|you mean the time you broke the ketchup bottle and cleaned it up with monicas guest towels
joey and rachels|joey|hey, i washed those
joey and rachels|phoebe|no you didnt.
joey and rachels|joey|yeah that didnt sound like me.
joey and rachels|phoebe|well, what am i gonna do i really need my guitar
joey and rachels|joey|yeah, i have stuff in there too.
joey and rachels|phoebe|what stuff
joey and rachels|joey|monicas chicken parm ill take care of it. he picks up the phone hey mr. treeger, its joey tribbiani. listen, i need to get into monica and chandlers apartment. its an emergency. listens uhh, gas leak yeah oh, and bring garlic bread. hangs up.
joey and rachels|ross|entering hey
joey and rachels|phoebe|did rachel find you
joey and rachels|ross|no why
joey and rachels|phoebe|oh she was looking for you.
joey and rachels|ross|oh well, i guess ill catch up with her later.
joey and rachels|phoebe|well, she really wanted to talk to you now.
joey and rachels|joey|yeah, it seemed pretty important.
joey and rachels|ross|oh no.
joey and rachels|phoebe|what
joey and rachels|ross|i think i might know what this is about. phoebe and joey trade looks
joey and rachels|joey|really
joey and rachels|ross|yeah. uh, uh we promised we werent gonna tell anybody this but uh, about a month ago rachel and i slept together.
joey and rachels|phoebe|deadpan and
joey and rachels|ross|wow i thought you would be a little more shocked.
joey and rachels|phoebe|oh sorry. shocked and
joey and rachels|ross|well, wewe said wed just do it that one time but, but now i think she may wanna start things up again.
joey and rachels|joey|yeah, i dont think thats what it is.
joey and rachels|ross|why whatwhat else could it be
joey and rachels|joey|oh wow, i dont feel well.
joey and rachels|ross|im telling you. im telling you. thats what it is. no wonder she was looking at me all funny during the wedding. she didnt say anything to you
joey and rachels|phoebe|to joey maybe its something you ate
joey and rachels|joey|please, justjust, just go and talk to rachel.
the airport ticket counter|ross|yeah, i guess i should. starts to leave. man, yknow what i have to realize maybe im just not the type of guy women can have just one night with. yknow, theythey always seem to want a little bit more. i should remember that. he pauses and then exits. another couple kissing who are next in line to be served.]
the airport ticket counter|ticket agent|next the kissing couple doesnt move.
the airport ticket counter|monica|theyre kissing lets just go around them.
the airport ticket counter|chandler|oh honey, leave them alone, theyre in love.
the airport ticket counter|monica|im in love too but in an orderly fashion.
the airport ticket counter|ticket agent|next
the airport ticket counter|monica|to the couple hi can you do that and walk cause she said, next. the couple moves up to the counter.
the airport ticket counter|woman|sorry. we didnt hear you were on our honeymoon.
the airport ticket counter|ticket agent|oh, let me see what i can do. checks the computer there are some first class seats available.
