ross apartment |chandler|hey ready to go
ross apartment |ross|oh yeah, let me just finish this.
ross apartment |joey|hey ross, check this out he tries to spin a basketball on his fingertip but he throws it against a table yeah, i cant do that
ross apartment |chandler|what are you doin
ross apartment |ross|have you seen this its a new alumni website for college its cool you can post messages for people, let everyone know what youre up to.
ross apartment |chandler|great, a faster way to tell people that im unemployed and childless .
ross apartment |ross|its actually kinda interesting to find out what people are doing... remember andrea rich
ross apartment |chandler|the tall girl who wouldnt sleep with you
ross apartment |ross|uh uh... well, her internet company went under and she lost an ear in a boating accident... 
ross apartment |chandler|bet shed sleep with you now... 
ross apartment |ross|no... i already emailed her.
ross apartment |chandler|let me see what you wrote about yourself: doctor paleontology, two kids...  pause you split with carol because you have different interests... i think you split with carol because youve one very similar interest
ross apartment |ross|you know what im gonna finish this later, ok let me just grab my coat.
ross apartment |joey|hey he throws the basketball against a table again
ross apartment |ross|he picks up the ball what do you think you learnt how to do in the last two minutes he enters another room
ross apartment |chandler|maybe we finish this for him he sits down on the sofa and he start typing on ross computer also i cloned a dinosaur in my lab. shes now my girlfriend. i dont care what society says. its the best sex ive ever had... aaand send
ross apartment |joey|he stops chandler from posting the message no, no, no... what do... you cant do that to him
ross apartment |ross|he comes back alright, lets go
ross apartment |joey|dude he opens his arms to receive the ball from ross hands
ross apartment |ross|i think you made it clear you cannot be trusted with the ball inside the house
ross apartment |joey|after ross leaves the room aaand send he hits the send button opening credits
ross apartment |[scene|joey and rachels apartment]
ross apartment |rachel|hey how was basketball
ross apartment |joey|oh, it was a lot of fun right up until chandler got a finger in the eye
ross apartment |rachel|oh, no who did that
ross apartment |joey|chandler... hey... he goes towards his room but he stops near emmas cot rach... whats hugsy doin in the crib with emma he looks puzzled
ross apartment |rachel|she was just crawling around and she found him, so i just let her sleep with him. thats all right isnt it
ross apartment |joey|still very puzzled oh, yeah... of course... yeah... its a stuffed animal... you know... its for kids... not for adults... i know that
ross apartment |rachel|joey... are you sure i mean, i know how much you love him
ross apartment |joey|rachel... lets be clear on this, ok i do not love hugsy. i like him a normal amount... 
ross apartment |rachel|all right... oh, emma loves him
ross apartment |joey|why wouldnt she hes a wonderful person
ross apartment |[scene|central perk]
ross apartment |phoebe|hi.
ross apartment |monica|hey phoebe... how you doin you feelin better
ross apartment |phoebe|breaking up sucks oh, i really miss mike
ross apartment |chandler|oh, im so sorry
ross apartment |phoebe|oh god, i tried everything to make myself feel better. i even tried writing a song about it... but... i cant think of anything that rhymes with aarrgghh pause hey monica, i really need your help getting through this... 
ross apartment |chandler|youre not gonna need my help
ross apartment |phoebe|well no, when i get to the point where... you know... im ready to hear cruel mocking jokes about mike... im gonna come to you.
ross apartment |chandler|oh good, cause ive already thought of 3... 4 ive just thought of a fourth he goes towards the counter
ross apartment |phoebe|ok. i mean i know i did the right thing. you know, mike never wants to get married and i shouldnt be in a relationship that has no future... but... pretty soon im gonna miss him so much. im gonna wanna see him again and you have to stop me from doing that.
ross apartment |monica|ok, you got it
ross apartment |phoebe|after a pause unless... maybe its too crazy about this... alright so... you know, there is no future... but that doesnt mean we still cant have fun. you know what forget what i said.
ross apartment |monica|really if thats what you want... 
ross apartment |phoebe|that was a test and you just failed.
