back in new york|monica|wow that mike thing was interesting i dont know whats gonna happen with phoebe and david.
back in new york|chandler|smiling cheekily i do want a hint huh i do monica looks confused, so chandler repeats i do.
back in new york|monica|ok, im sensing that this is some kind of word play, because you are pink with barely controlled glee.
back in new york|chandler|david is going to propose to phoebe.
back in new york|monica|what looks very shocked why
back in new york|chandler|because, we were talking about ways that he could beat mike and i told him that phoebe wanted to get married.
back in new york|monica|chandler, we have talked about this. you are not supposed to give people advice now couldnt you just have made some sort of inappropriate joke
back in new york|chandler|i did a penis one look, just so i know, what was so wrong about what i said
back in new york|monica|theyve only been going out for a few weeks and phoebe is completely hung up on mike shell say no, davids heart will be broken, it will be too hard for them to recover from and then phoebe will end up alone again.
barbados|chandler|man, thats some bad advice joey spots them and walks towards them
barbados|joey|oh hey thank god you guys are here
barbados|rachel|hey hey whats going on
barbados|joey|everything is upside down here it rains all day long, nobody watches tv and ross is famous rachel turns around and sees chandler and monica arriving
barbados|rachel|alright, i dont wanna alarm anybody, but monicas hair is twice as big as it was when we landed monica and chandler reach the group
barbados|monica|ok when i go places with high humidity, it gets a little extra body, ok
barbados|chandler|thats why our honeymoon photos look like me and diana ross
barbados|joey|come on, ill show you guys where to check in joey, chandler and david leave
barbados|monica|to chandler oh, honey, can you make sure we get a king size bed
barbados|phoebe|shouts after david oh david, get one for us too oh, oh, and see if they have a heartshaped one and with mirrors on the ceiling
barbados|monica|shouts to chandler and make sure our room isnt next to theirs points to phoebe.
barbados|rachel|ooh you guys are so lucky you are here with people, you known its such a romantic place. thats all, i just wish i could looks at joey who is at the check in desk share that with a guy.
barbados|phoebe|not joey.
barbados|rachel|not joey, no, i was just lusting after chandler.
barbados|monica|yeah, right [cut to the guys]
barbados|david|so, ehm... im proposing to pheobe tonight. removes a ring box from his pocket and opens it to show chandler the ring
barbados|chandler|tonight looks at the ring isnt an engagement ring supposed to have a diamond squints at the ring to emphasize how tiny the diamond is oh, there it is
barbados|david|yeah, well, being a failed scientist doesnt pay quite as well as you might think. thats uhm... one seventieth of a karat. and the clarity is uhm... is quite poor.
barbados|chandler|slaps him on the shoulder nice goes to monica
barbados|chandler|monica, can i talk to you for a sec pulls her away from phoebe and rachel
barbados|monica|ok
barbados|chandler|david is going to propose to phoebe tonight
barbados|monica|see what happens when you give people advice i hope you told him not to
barbados|chandler|that would be advice
barbados|monica|ok fine. ill handle this. goes to phoebe whos talking to rachel phoebe
barbados|phoebe|yeah
barbados|monica|looking very serious i need to talk to you.
barbados|phoebe|are you leaving the supremes monica and phoebe go to one side
barbados|monica|ok, my husband just gave your boyfriend some very bad advice. look, david is going to propose to you tonight.
barbados|phoebe|wow really thats fantastic
barbados|monica|what are you serious you wanna marry him wha... what about mike
barbados|phoebe|oh, ok, you want me to marry mike alright, well, lets just gag him and handcuff him and force him down the aisle. i can just see it: mike, do you take phoebe... gestures with her hand as if someone is covering her mouth and tries to shout no no you know, its every girls dream
barbados|monica|do you really think marrying someone else is the right answer
rosss hotel room|phoebe|sure look, ok, bottom line: i love mike... david david. i love david. dont look at me that way, roseanne rosannadanna
rosss hotel room|ross|by using ct scans and computer imaging we can in a very real way, bring the mesozoic era into the 21st century.
rosss hotel room|charlie|its great. youre gonna be the hit of the conference.
